                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     93,                0.84011,                0.54092,                0.84619,                0.95285,                0.71118,                0.72767,                 0.5743,                0.80475,                0.55515,                0.81314,              0.0011362,              0.0011362,              0.0011362
                     94,                0.78001,                0.53052,                0.84051,                0.94886,                0.72419,                0.73357,                0.61997,                0.61581,                0.52861,                0.79979,              0.0011349,              0.0011349,              0.0011349
                     95,                0.77286,                0.52809,                 0.8443,                0.94525,                 0.7272,                0.73225,                0.62045,                0.61381,                0.52224,                0.80071,              0.0011337,              0.0011337,              0.0011337
                     96,                0.77146,                0.52778,                0.84268,                  0.953,                0.71111,                0.72457,                 0.5833,                0.77808,                0.54561,                0.80698,              0.0011324,              0.0011324,              0.0011324
                     97,                0.78288,                0.52544,                0.84618,                0.94809,                0.72451,                 0.7241,                0.58639,                0.66794,                0.50702,                0.79261,              0.0011312,              0.0011312,              0.0011312
                     98,                0.84348,                0.54247,                0.85112,                0.92912,                 0.7109,                0.72778,                0.62326,                0.64345,                0.56414,                0.80343,                0.00113,                0.00113,                0.00113
                     99,                0.74832,                0.50516,                0.84428,                0.94733,                0.71433,                0.72901,                0.59647,                0.74815,                0.54323,                0.80239,              0.0011287,              0.0011287,              0.0011287
                    100,                0.72543,                0.49034,                0.84524,                0.94737,                 0.7203,                0.72194,                0.61743,                 0.5999,                0.52587,                0.78956,              0.0011275,              0.0011275,              0.0011275
                    101,                0.76171,                0.50061,                0.84688,                0.94496,                0.72389,                0.72765,                0.56101,                0.92918,                0.56168,                0.81797,              0.0011263,              0.0011263,              0.0011263
                    102,                0.76248,                0.50026,                0.83653,                0.93761,                0.70769,                0.72849,                0.59894,                0.65614,                0.53879,                0.80986,               0.001125,               0.001125,               0.001125
                    103,                0.74172,                0.51067,                 0.8357,                0.95412,                0.70353,                0.72258,                0.60445,                0.67689,                0.56008,                0.80268,              0.0011238,              0.0011238,              0.0011238
                    104,                0.74252,                0.51265,                0.83499,                0.94094,                0.72983,                0.72283,                0.61168,                0.64174,                 0.5142,                0.80508,              0.0011225,              0.0011225,              0.0011225
