                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    135,                0.50735,                 0.3214,                 0.7744,                0.96118,                0.73603,                0.78049,                0.70995,                 0.4973,                0.41386,                0.74565,              0.0010842,              0.0010842,              0.0010842
                    136,                0.47255,                0.31273,                0.77544,                0.96182,                0.73021,                0.75849,                0.68408,                0.48975,                0.39193,                0.74486,              0.0010829,              0.0010829,              0.0010829
                    137,                0.45473,                0.29398,                0.77797,                0.96202,                 0.7375,                0.75476,                0.68868,                0.44136,                0.37405,                0.74492,              0.0010817,              0.0010817,              0.0010817
                    138,                0.48756,                 0.3005,                0.78047,                0.94954,                0.73383,                0.76094,                0.67707,                0.51253,                0.39869,                 0.7438,              0.0010805,              0.0010805,              0.0010805
                    139,                0.49596,                0.31459,                0.77818,                0.94828,                0.73447,                0.81492,                0.73467,                0.48584,                0.39907,                0.74407,              0.0010792,              0.0010792,              0.0010792
                    140,                0.47643,                0.30012,                0.77628,                0.95451,                0.72897,                0.81254,                0.73613,                0.43758,                0.39117,                0.74219,               0.001078,               0.001078,               0.001078
                    141,                0.47977,                0.30683,                0.77703,                0.95266,                0.73986,                0.85297,                 0.7734,                0.42245,                0.37997,                0.74108,              0.0010768,              0.0010768,              0.0010768
                    142,                0.48729,                0.30947,                0.78254,                0.96397,                0.73615,                0.97645,                0.87613,                0.48903,                0.39656,                0.74355,              0.0010755,              0.0010755,              0.0010755
                    143,                0.49037,                0.30453,                0.77816,                0.94018,                0.73984,                0.97358,                 0.8737,                 0.4963,                0.40839,                0.74314,              0.0010743,              0.0010743,              0.0010743
                    144,                0.48172,                 0.3064,                 0.7758,                0.95822,                0.73417,                0.97484,                0.88487,                0.45768,                0.37799,                0.74325,               0.001073,               0.001073,               0.001073
                    145,                0.46431,                0.29655,                0.77694,                0.95391,                0.73646,                0.97315,                0.88891,                0.42643,                0.37472,                0.74181,              0.0010718,              0.0010718,              0.0010718
                    146,                0.46004,                0.29633,                0.77928,                0.96485,                0.72979,                0.80926,                0.73631,                0.44914,                0.38446,                0.74345,              0.0010706,              0.0010706,              0.0010706
                    147,                0.47185,                0.30127,                0.77753,                0.96168,                0.73646,                0.79226,                0.70968,                0.51138,                0.39741,                 0.7456,              0.0010693,              0.0010693,              0.0010693
                    148,                0.48175,                0.30298,                0.78343,                0.95169,                0.73003,                0.85146,                0.76349,                0.52579,                0.40293,                0.74642,              0.0010681,              0.0010681,              0.0010681
                    149,                0.45838,                0.28935,                 0.7825,                0.95171,                0.73812,                0.97643,                0.89135,                0.43377,                0.37078,                 0.7434,              0.0010669,              0.0010669,              0.0010669
                    150,                0.47909,                0.29387,                0.77524,                0.95584,                0.74062,                0.84929,                0.76687,                0.42716,                 0.3729,                0.74276,              0.0010656,              0.0010656,              0.0010656
                    151,                0.46484,                 0.2964,                0.77705,                0.96529,                0.73921,                0.97832,                0.87413,                0.40479,                0.36324,                0.74361,              0.0010644,              0.0010644,              0.0010644
                    152,                0.48798,                0.30149,                0.77575,                 0.9737,                0.72757,                0.85556,                0.78234,                 0.5027,                 0.3924,                0.74635,              0.0010631,              0.0010631,              0.0010631
                    153,                0.49565,                0.30253,                0.77976,                0.94764,                0.74062,                0.97767,                0.90266,                0.41027,                 0.3786,                0.74222,              0.0010619,              0.0010619,              0.0010619
                    154,                0.48706,                0.31639,                0.77578,                0.94741,                0.74062,                0.85351,                0.79459,                0.39166,                0.35932,                0.74352,              0.0010607,              0.0010607,              0.0010607
                    155,                0.51171,                0.31277,                0.77822,                0.96943,                0.72147,                0.98283,                0.89385,                0.49597,                0.38096,                  0.745,              0.0010594,              0.0010594,              0.0010594
